Herat Airport,Herat,Afghanistan,34.21,62.2283,af
Jalalabad Airport,Jalalabad,Afghanistan,34.3998,70.4986,af
Hamid Karzai International Airport,Kabul,Afghanistan,34.5659,69.2123,af
Kandahar Airport,Kandahar,Afghanistan,31.5058,65.8478,af
Maimana Airport,Maimama,Afghanistan,35.9308,64.7609,af
Mazar I Sharif Airport,Mazar-i-sharif,Afghanistan,36.7069,67.2097,af
Shindand Airport,Shindand,Afghanistan,33.3913,62.261,af
Sheberghan Airport,Sheberghan,Afghanistan,36.7508,65.9132,af
Konduz Airport,Kunduz,Afghanistan,36.6651,68.9108,af
Fayzabad Airport,Faizabad,Afghanistan,37.1211,70.5181,af
Bagram Air Base,Kabul,Afghanistan,34.9461,69.265,af
Tarin Kowt Airport,Tarin Kowt,Afghanistan,32.6042,65.8658,af
Zaranj Airport,Zaranj,Afghanistan,30.9722,61.8658,af
Chakcharan Airport,Chaghcharan,Afghanistan,34.533,65.267,af
Camp Bastion Airport,Camp Bastion,Afghanistan,31.8638,64.2246,af
Khost Airport,Khost,Afghanistan,33.3334,69.952,af
Sharana Airstrip,Sharona,Afghanistan,33.1258,68.8385,af
Shank Air Base,Shank,Afghanistan,33.9225,69.0772,af
Bost Airport,Lashkar Gah,Afghanistan,31.5597,64.365,af
Bamiyan Airport,Bamyan,Afghanistan,34.817,67.817,af
Farah Airport,Farah,Afghanistan,32.367,62.183,af
Ghazni Airport,Ghazni,Afghanistan,33.5312,68.4129,af
Tirana International Airport Mother Teresa,Tirana,Albania,41.4147,19.7206,al
Gjadër Air Base,Gjadër,Albania,41.8952,19.5987,al
Kukës Airport,Kukës,Albania,42.0337,20.4159,al
Kuçovë Air Base,Kuçovë,Albania,40.7719,19.9019,al
Vlorë Air Base,Vlorë,Albania,40.4761,19.4742,al
Blida Airport,Blida,Algeria,36.5036,2.81417,dz
Bou Saada Airport,Bou Saada,Algeria,35.3325,4.20639,dz
Soummam Airport,Bejaja,Algeria,36.712,5.06992,dz
Houari Boumediene Airport,Algier,Algeria,36.691,3.21541,dz
Djanet Inedbirene Airport,Djanet,Algeria,24.2928,9.45244,dz
Boufarik Airport,Boufarik,Algeria,36.5458,2.87611,dz
Reggane Airport,Reggan,Algeria,26.7101,0.285647,dz
Illizi Takhamalt Airport,Illizi,Algeria,26.7235,8.62265,dz
Ain Oussera Airport,Ain Oussera,Algeria,35.5254,2.87871,dz
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,22.8115,5.45108,dz
Jijel Ferhat Abbas Airport,Jijel,Algeria,36.7951,5.87361,dz
Mecheria Airport,Mecheria,Algeria,33.5359,-0.242353,dz
Relizane Airport,Relizane,Algeria,35.7522,0.626272,dz
Rabah Bitat Airport,Annaba,Algeria,36.8222,7.80917,dz
Mohamed Boudiaf International Airport,Constantine,Algeria,36.276,6.62039,dz
Cheikh Larbi Tébessi Airport,Tebessa,Algeria,35.4316,8.12072,dz
Hassi R'Mel Airport,Tilrempt,Algeria,32.9304,3.31154,dz
Bou Chekif Airport,Tiaret,Algeria,35.3411,1.46315,dz
Bou Sfer Airport,Bou Sfer,Algeria,35.7354,-0.805389,dz
Tindouf Airport,Tindouf,Algeria,27.7004,-8.1671,dz
Ech Cheliff Airport,Ech-cheliff,Algeria,36.2127,1.33177,dz
Tafaraoui Airport,Oran,Algeria,35.5424,-0.532278,dz
Zenata – Messali El Hadj Airport,Tlemcen,Algeria,35.0167,-1.45,dz
Es Senia Airport,Oran,Algeria,35.6239,-0.621183,dz
Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,35.1718,-0.593275,dz
Ghriss Airport,Ghriss,Algeria,35.2077,0.147142,dz
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,27.8376,-0.186414,dz
Biskra Airport,Biskra,Algeria,34.7933,5.73823,dz
El Golea Airport,El Golea,Algeria,30.5713,2.85959,dz
Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,32.3841,3.79411,dz
Oued Irara Airport,Hassi Messaoud,Algeria,31.673,6.14044,dz
In Salah Airport,In Salah,Algeria,27.251,2.51202,dz
Touggourt Sidi Madhi Airport,Touggourt,Algeria,33.0678,6.08867,dz
Laghouat Airport,Laghouat,Algeria,33.7644,2.92834,dz
Timimoun Airport,Timimoun,Algeria,29.2371,0.276033,dz
Ain el Beida Airport,Ouargla,Algeria,31.9172,5.41278,dz
In Aménas Airport,Zarzaitine,Algeria,28.0515,9.64291,dz
Batna Airport,Batna,Algeria,35.7521,6.30859,dz
Béchar Boudghene Ben Ali Lotfi Airport,Béchar,Algeria,31.6457,-2.26986,dz
Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,Algeria,21.375,0.923889,dz
Guemar Airport,Guemar,Algeria,33.5114,6.77679,dz
Ain Arnat Airport,Setif,Algeria,36.1781,5.32449,dz
Tsletsi Airport,Djelfa,Algeria,34.6657,3.351,dz
El Bayadh Airport,El Bayadh,Algeria,33.7217,1.0925,dz
Pago Pago International Airport,Pago Pago,American Samoa,-14.331,-170.71,as
Fitiuta Airport,Fiti\'uta,American Samoa,-14.2172,-169.425,as
Mbanza Congo Airport,M'banza-congo,Angola,-6.2699,14.247,ao
Benguela Airport,Benguela,Angola,-12.609,13.4037,ao
Cabinda Airport,Cabinda,Angola,-5.59699,12.1884,ao
Nova Lisboa Airport,Huambo,Angola,-12.8089,15.7605,ao
Kuito Airport,Kuito,Angola,-12.4046,16.9474,ao
Lobito Airport,Lobito,Angola,-12.3712,13.5366,ao
Quatro de Fevereiro Airport,Luanda,Angola,-8.85837,13.2312,ao
Malanje Airport,Malanje,Angola,-9.52509,16.3124,ao
Menongue Airport,Menongue,Angola,-14.6576,17.7198,ao
Negage Airport,Negage,Angola,-7.75451,15.2877,ao
Porto Amboim Airport,Porto Amboim,Angola,-10.722,13.7655,ao
Saurimo Airport,Saurimo,Angola,-9.68907,20.4319,ao
Soyo Airport,Soyo,Angola,-6.14109,12.3718,ao
Lubango Airport,Lubango,Angola,-14.9247,13.575,ao
Luena Airport,Luena,Angola,-11.7681,19.8977,ao
Uige Airport,Uige,Angola,-7.60307,15.0278,ao
Xangongo Airport,Xangongo,Angola,-16.7554,14.9653,ao
Catumbela Airport,Catumbela,Angola,-12.4792,13.4869,ao
Dundo Airport,Dundo,Angola,-7.40089,20.8185,ao
Ngjiva Pereira Airport,Ondjiva,Angola,-17.0435,15.6838,ao
Namibe Airport,Mocamedes,Angola,-15.2612,12.1468,ao
Nzagi Airport,Nzagi,Angola,-7.71694,21.3582,ao
Lucapa Airport,Lucapa,Angola,-8.44573,20.7321,ao
Capanda Airport,Kapanda,Angola,-9.76937,15.4553,ao
Sumbe Airport,Sumbe,Angola,-11.1679,13.8475,ao
Clayton J Lloyd International Airport,The Valley,Anguilla,18.2048,-63.0551,ai
South Pole Station Airport,Stephen's Island,Antarctica,-90,0,aq
Williams Field,Weydon,Antarctica,-77.8674,167.057,aq
Marambio Base,Marambio Base,Antarctica,-64.2383,-56.6308,aq
Teniente Rodolfo Marsh Martin Base,Isla Rey Jorge,Antarctica,-62.1908,-58.9867,aq
Wilkins Runway,Budd Coast,Antarctica,-66.6908,111.524,aq
McMurdo Station Ice Runway,Ross Island,Antarctica,-77.854,166.469,aq
McMurdo Station Pegasus Field,McMurdo Station,Antarctica,-77.9634,166.525,aq
V.C. Bird International Airport,Antigua,Antigua and Barbuda,17.1367,-61.7927,ag
Codrington Airport,Codrington,Antigua and Barbuda,17.6358,-61.8286,ag
Comodoro Pierrestegui Airport,Concordia,Argentina,-31.2969,-57.9966,ar
Gualeguaychu Airport,Gualeguaychu,Argentina,-33.0103,-58.6131,ar
Junin Airport,Junin,Argentina,-34.5459,-60.9306,ar
General Urquiza Airport,Parana,Argentina,-31.7948,-60.4804,ar
Islas Malvinas Airport,Rosario,Argentina,-32.9036,-60.785,ar
Sauce Viejo Airport,Santa Fe,Argentina,-31.7117,-60.8117,ar
Jorge Newbery Airpark,Buenos Aires,Argentina,-34.5592,-58.4156,ar
Ingeniero Ambrosio Taravella Airport,Cordoba,Argentina,-31.3236,-64.208,ar
Chamical Airport,Gobernador Gordillo,Argentina,-30.3453,-66.2936,ar
